2026/04/18 17:10:08.542, 0 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:09.169, 0 MiB, 81920 MiB, 0 %, 61.54 W
2026/04/18 17:10:09.416, 0 MiB, 81920 MiB, 0 %, 61.54 W
2026/04/18 17:10:09.508, 0 MiB, 81920 MiB, 0 %, 61.54 W
2026/04/18 17:10:09.543, 0 MiB, 81920 MiB, 0 %, 61.54 W
2026/04/18 17:10:09.586, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:10.205, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:10.461, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:10.548, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:10.589, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:10.624, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:11.237, 0 MiB, 81920 MiB, 0 %, 61.15 W
2026/04/18 17:10:11.491, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:11.577, 0 MiB, 81920 MiB, 0 %, 61.15 W
2026/04/18 17:10:11.624, 0 MiB, 81920 MiB, 0 %, 61.15 W
2026/04/18 17:10:11.651, 0 MiB, 81920 MiB, 0 %, 61.15 W
2026/04/18 17:10:12.266, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:12.525, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:12.609, 0 MiB, 81920 MiB, 0 %, 61.15 W
2026/04/18 17:10:12.653, 0 MiB, 81920 MiB, 0 %, 61.15 W
2026/04/18 17:10:12.685, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:13.300, 0 MiB, 81920 MiB, 0 %, 61.15 W
2026/04/18 17:10:13.554, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:13.641, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:13.686, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:13.715, 0 MiB, 81920 MiB, 0 %, 61.22 W
2026/04/18 17:10:14.328, 0 MiB, 81920 MiB, 0 %, 61.22 W
